해당년도,발매년도,노래제목,가수이름,가수성별,그룹-솔로,작사가,가사
1990,1991,이별의 그늘,윤상,m,s,박주연,"문득 돌아보면 같은 자리지만
난 아주 먼길을 떠난 듯 했어
만날 순 없었지
한번 어긋난 후
나의 기억에서만
살아있는 먼 그대
난 끝내 익숙해지겠지
그저 쉽게 잊고 사는 걸
또 함께 나눈 모든 것도
그만큼의 허전함일 뿐
덧없이 흘러가는
시간 속에서
어떤 만남을 준비 할까
하지만 기억 해줘
지난 얘기와 이별 후에
비로소 눈 뜬
나의 사랑을
난 끝내 익숙해지겠지
그저 쉽게 잊고 사는 걸
또 함께 나눈 모든 것도
그만큼의 허전함일 뿐
덧없이 흘러가는
시간 속에서
어떤 만남을 준비 할까
하지만 기억 해줘
지난 얘기와
이별 후에 비로소 눈 뜬
나의 사랑을"
1990,1991,미소 속에 비친 그대,신승훈,m,s,신승훈,"너는 장미보다 아름답진 않지만
그보다 더 진한 향기가
너는 별빛보다 환하지 않지만
그보다 더 따사로와
탁자위에 놓인 너의 사진을 보며
슬픈 목소리로 불러 보지만
아무 말도 없는 그댄
나만을 바라보며
변함없는 미소를 주네
내가 아는 사랑은
그댈 위한 나의 마음
그리고 그대의 미소
내가 아는 이별은
슬픔이라 생각했지
하지만 너무나 슬퍼
나는 울고 싶지 않아
다시 웃고 싶어졌지
그런 미소속에 비친
그대 모습 보면서
다시 울고 싶어지면
나는 그대를 생각하며
지난 추억에 빠져 있네 그대여
내가 아는 사랑은
그댈 위한 나의 마음
그리고 그대의 미소
내가 아는 이별은
슬픔이라 생각했지
하지만 너무나 슬퍼
나는 울고 싶지 않아
다시 웃고 싶어졌지
그런 미소 속에 비친
그대 모습 보면서
다시 울고 싶어지면
나는 그대를 생각하며
지난 추억에 빠져 있네 그대여
울고 싶지 않아
다시 웃고 싶어졌지
그런 미소속에 비친
그대 모습보면서
다시 울고 싶어지면
나는 그대를 생각하며
지난 추억에 빠져 있네 그대여"
1990,1990,삐에로는 우릴 보고 웃지,김완선,f,s,이승호,"빨간 모자를 눌러쓴
난 항상 웃음 간직한 삐에로
파란 웃음 뒤에는
아무도 모르는 눈물
초라한 날보며 웃어도
난 내 모습이 너무 아름다워
모두들 검은 넥타이
아무 말도 못하는 걸
사람들은 모두 춤추며 웃지만
나는 그런 웃음 싫어
술 마시며 사랑 찾는 시간 속에
우리는 진실을 잊고 살잖아
난 차라리 웃고 있는
삐에로가 좋아
난 차라리 슬픔 아는
삐에로가 좋아
초라한 날 보며 웃어도
난 내 모습이 너무 아름다워
모두들 검은 넥타이
아무 말도 못하는 걸
사람들은 모두 춤추며 웃지만
나는 그런 웃음 싫어
술 마시며 사랑 찾는 시간 속에
우리는 진실을 잊고 살잖아
난 차라리 웃고 있는
삐에로가 좋아
난 차라리 슬픔 아는
삐에로가 좋아
난 차라리 웃고 있는
삐에로가 좋아"
1990,1996,너를 사랑하고도,전유나,f,s,김진룡,"너를 사랑하고도 늘 외로운 나는
가눌 수 없는 슬픔에 목이 메이고
어두운 방구석에 꼬마인형처럼
멍한 눈 들어 창 밖을 바라만 보네
너를 처음 보았던 그 느낌 그대로
내 가슴속에 머물길 원했었지만
서로 다른 사랑을 꿈꾸었었기에
난 너의 마음 가까이 갈수 없었네
저 산하 늘 노을은 항상 나의 창에
붉은 입술을 부딪쳐서 검게 멍들고
멀어지는 그대와 나의 슬픈 사랑은
초라한 모습 감추며 돌아서는데
이젠 더이상 슬픔은 없어
너의 마음을 이제 난 알아
사랑했다는 그말 난 싫어
마지막 까지 웃음을 보여줘

저 산하늘 노을은 항상 나의 창에
붉은 입술을 부딪혀서 검게 멍들고
멀어지는 그대와 나의 슬픈 사랑은
초라한 모습 감추며 돌아서는데
이젠 더이상 슬픔은 없어
너의 마음을 이제 난 알아
사랑했다는 그말 난 싫어
마지막 까지 웃음을 보여줘
이젠 더이상 슬픔은 없어
너의 마음을 이제 난 알아
사랑했다는 그말 난 싫어
마지막 까지 웃음을 보여줘"
1990,1992,이별의 끝은 어디인가요,양수경,f,s,함경문,"어떻게 돌아왔는지
아무 생각도 나질 않아
예감할 수 없었던 이별이였기에
그 무슨 말을 했는지
그저 눈물만 흐르네요
믿을 수가 없었던 이별이였기에
무슨 이유로 떠나야 했나요
나보다 더 나를 사랑했던 그대가
왜 나를 떠나야 했는지
아직도 눈물이 남아 있었나요
내 모습이 정말 싫어요
또 다른 사랑을 찾아야 하나요
내 이별의 끝은 어디인가요
무슨 이유로 떠나야 했나요
나보다 더 나를 사랑했던 그대가
왜 나를 떠나야 했는지
아직도 눈물이 남아 있었나요
내 모습이 정말 싫어요
또 다른 사랑을 찾아야 하나요
내 이별의 끝은 어디인가요"
1990,1991,그대 슬픔까지 사랑해,심신,m,s,이지심,"그대 눈물같은 바람이 나의 어깨를 스치면
내 가슴속에 추억들이 하나둘 깨어나
이밤도 외로운 날지켜주네
슬픈 어둠속에 홀로 앉아있는 사람을
그대 사랑하던 기억은 아직 내곁에 있는데
그 시간들은 두번다시 올수가 없겠지
단 한번 그날이 돌아온다면
나는 말할텐데 그대 슬픔까지 사랑해
단 한번 단 한번 만이라도
가슴을 열어 나의 눈물을
너에게 보여줄수 있다면
단한번 내 사랑아 그대 떠난
시간을 돌리고 싶어라 아~~~~~~아~~~

단 한번 단 한번 만이라도
가슴을 열어 나의 눈물을
너에게 보여줄수 있다면
단한번 내 사랑아 그대 떠난
시간을 돌리고 싶어라 아~~~~~~아~~~
단한번 내 사랑아 그대 떠난
시간을 돌리고 싶어라 아~~~~~~아~~~"
1990,1991,너를 향한 마음,이승환,m,s,어수은,"너를 향한 마음은 언제나 변함없어
이제는 모든 것이 달라졌다 하여도
언젠가는 한번쯤 너를 기억할거야
초라한 모습만 남게 되겠지
한번쯤 우연히 만날 것도 같은데
닮은 사람 하나 보지 못했어
영화속에서나 일어나는 일일까
저 골목을 돌면 만나지려나
언제라도 내게 돌아오기를
바보처럼 기다리는
어리석은 나의 모습을
그댄 짐작조차 할 순 없겠지
하지만 그댄 언젠가
이런 나의 마음 알지도 몰라
한번쯤 우연히 만날 것도 같은데
닮은 사람 하나 보지 못했어
영화속에서나 일어나는 일일까
저 골목을 돌면 만나지려나
언제라도 내게 돌아오기를
바보처럼 기다리는
어리석은 나의 모습을
그댄 짐작조차 할 순 없겠지
하지만 그댄 언젠가
이런 나의 마음 알지도 몰라
닿을 수 없었던 나의 마음을
더는 내 것 일수 없는
너를 향한 나의 마음을
그댄 짐작조차 할 순 없겠지
하지만 그댄 언젠가
이런 나의 마음 알지도 몰라"
1990,1991,날 울리지마,신승훈,m,s,김창환,"내 가슴깊은 그곳에 숨겨놓은
그대와의 많은 시간들이
어둠에 묻혀 나를 찾아들면
나는 외로움에 잠못들고
내게 남아 있는 그대 인형처럼
뽀얀 먼지속에 묻어오는
나의 추억속에 이젠 멀어진 그대여
날 울리지마 슬픈 영화속의 주인공은 싫어
날 울리지마 슬픈 노래처럼 기억되긴 싫어
내곁에 맴도는 그대의 모습은 우울한 하루
이젠 그대의 미소 느껴지지않아
그 날밤 그 날처럼

날 울리지마 슬픈 영화속의 주인공은 싫어
날 울리지마 슬픈 노래처럼 기억되긴 싫어
내곁에 맴도는 그대의 모습은 우울한 하루
이젠 그대의 미소 느껴지지않아
그 날밤 그 날처럼
날 울리지마 슬픈 영화속의 주인공은 싫어
날 울리지마 슬픈 노래처럼 기억되긴 싫어
내곁에 맴도는 그대의 모습은 우울한 하루
이젠 그대의 미소 느껴지지않아
그 날밤 그 날처럼
날 울리지마 슬픈 영화속의 주인공은 싫어
날 울리지마 슬픈 노래처럼 기억되긴 싫어"
1990,1989,만남,노사연,f,s,박신,"우리 만남은 우연이 아니야
그것은 우리의 바램이었어
잊기엔 너무한
나의 운명이었기에
바랄 수는 없지만
영원을 태우리
돌아보지 말아
후회하지 말아
아 바보같은 눈물
보이지 말아
사랑해 사랑해 너를
너를 사랑해

돌아보지 마라
후회하지 말아
아 바보같은 눈물
보이지 말아
사랑해 사랑해
너를 너를 사랑해
사랑해 사랑해 너를
너를 사랑해"
1990,1991,친구에게,김민우,m,s,박창학,"잊고 있었니 내가 있다는걸
살아가는 이유 힘겨워 질때는
쉬어갈수 있는곳
너의 한숨도 함께 하려했지
언젠가는 나의 지친 발걸음이
너를 찾아갈테니
수많은 시간속에 그 깊은
외로움은 예전처럼
우리 함께 나눌수는 없나
변해가는건 우리가 아니잖아
알수 없는 세상일뿐

나의 한숨도 함께 하려했지
언젠가는 나의 지친 발걸음이
너를 찾아갈테니
수많은 시간속에 그 깊은
외로움은 예전처럼
우리 함께 나눌수는 없나
변해가는 건 우리가 아니잖아
알수없는 세상일 뿐 수많은
시간속 에 그 깊은 외로움은
예전처럼 우리 함께 나눌수는 없나
변해가는건 우리가 아니잖아
알수 없 는세상일뿐"
